Date,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
09-Apr-20,LAS,991,95.51%,71.71%,212,15.34%,8,0.58%,8,0.58%,160.9,28.49,1.43,91.08,20.82,31.41,479.61,0.12
09-Apr-20,NEAS,155,61.30%,51.50%,18,5.98%,0,0.00%,0,0.00%,18.47,6.79,0,56.07,16.4,54.55,82.26,0.06
09-Apr-20,NWAS,544,61.59%,64.99%,120,14.34%,4,0.48%,0,0.00%,93.22,19.94,0.8,77.93,20.39,33.15,284.48,0.11
09-Apr-20,SCAS,192,71.56%,40.59%,24,5.07%,1,0.21%,1,0.21%,24.61,4.34,0.87,112.3,15.55,22.74,122.58,0.05
09-Apr-20,SECAmb,560,92.56%,64.29%,95,10.91%,5,0.57%,1,0.11%,82.03,15.56,1.33,91.57,19.36,29.66,281.07,0.09
09-Apr-20,SWAS,236,100.00%,25.21%,45,4.81%,4,0.43%,0,0.00%,37.42,7.29,0.56,75,12.14,23.05,189.45,0.04
09-Apr-20,WMAS,687,86.11%,59.58%,101,8.76%,2,0.17%,0,0.00%,87.77,12.26,0.39,82.32,18.24,26.42,350.57,0.08
09-Apr-20,YAS,179,70.94%,31.08%,38,6.60%,3,0.52%,0,0.00%,30.27,7.42,0.58,81.12,12.69,24.53,121.8,0.05
10-Apr-20,EEAST,628,86.06%,70.17%,147,16.42%,7,0.78%,1,0.11%,108.8,23.17,1.51,108.3,20.77,32.81,309.89,0.12
10-Apr-20,EMAS,658,100.00%,67.07%,174,17.74%,15,1.53%,4,0.41%,360.43,88.09,9.64,215,21.42,33.68,350.14,0.37
10-Apr-20,IOW,16,41.38%,133.33%,2,16.67%,0,0.00%,0,0.00%,1.88,0.21,0,37.02,37.28,25.13,7.46,0.16
10-Apr-20,LAS,975,95.31%,71.59%,220,16.15%,9,0.66%,9,0.66%,164.25,29.7,2.4,124.72,21.02,32.15,477.26,0.12
10-Apr-20,NEAS,170,66.99%,49.85%,22,6.45%,0,0.00%,0,0.00%,20.58,7.73,0,51.83,16.34,52.95,92.88,0.06
10-Apr-20,NWAS,539,60.22%,64.86%,128,15.40%,4,0.48%,0,0.00%,91.98,18.91,0.99,82.4,20.19,31.98,279.63,0.11
10-Apr-20,SCAS,187,74.30%,38.96%,16,3.33%,0,0.00%,0,0.00%,19.59,2.1,0,59.43,14.87,20.45,118.99,0.04
10-Apr-20,SECAmb,527,91.62%,62.59%,82,9.74%,3,0.36%,0,0.00%,67.89,9.16,0.23,68.95,18.38,28.61,257.96,0.08
10-Apr-20,SWAS,281,100.00%,29.77%,48,5.08%,4,0.42%,0,0.00%,39.35,6.25,0.25,69.68,12.52,23.91,196.99,0.04
10-Apr-20,WMAS,683,85.99%,58.58%,94,8.06%,1,0.09%,0,0.00%,85.09,8.28,0.15,68.82,17.94,27.12,348.62,0.07
10-Apr-20,YAS,196,70.50%,33.33%,41,6.97%,2,0.34%,0,0.00%,29.03,5.71,0.54,87.43,12.27,23.6,120.28,0.05
11-Apr-20,EEAST,627,86.53%,69.74%,156,17.35%,3,0.33%,1,0.11%,109.45,22.17,0.77,95,20.87,32.83,312.73,0.12
11-Apr-20,EMAS,639,100.00%,65.40%,163,16.68%,13,1.33%,4,0.41%,351.89,82.07,7.41,175.08,20.88,33.85,339.95,0.36
11-Apr-20,IOW,11,26.32%,220.00%,1,20.00%,0,0.00%,0,0.00%,1.39,0.05,0,33.08,61.1,29.7,5.09,0.28
11-Apr-20,LAS,"1,062",94.23%,73.96%,259,18.04%,10,0.70%,10,0.70%,183.2,34.54,2.95,111.77,21.56,32.64,515.91,0.13
11-Apr-20,NEAS,187,65.85%,53.28%,12,3.42%,1,0.28%,0,0.00%,19.02,5.14,0.8,62.75,15.82,51.21,92.54,0.05
11-Apr-20,NWAS,514,61.90%,62.76%,83,10.13%,2,0.24%,0,0.00%,78.5,12.53,0.3,71.3,19.24,29.61,262.64,0.1
11-Apr-20,SCAS,164,72.70%,35.81%,14,3.06%,1,0.22%,0,0.00%,17.11,1.78,0.05,63.02,14.46,20.4,110.34,0.04
11-Apr-20,SECAmb,576,91.56%,67.21%,89,10.39%,5,0.58%,2,0.23%,85.3,16.2,1.85,108.25,19.74,29.4,282,0.1
11-Apr-20,SWAS,241,100.00%,25.42%,38,4.01%,5,0.53%,1,0.11%,35.32,8.15,1.36,95.8,11.73,22.25,185.26,0.04
11-Apr-20,WMAS,739,87.42%,63.65%,89,7.67%,0,0.00%,0,0.00%,91.92,8.32,0,59.65,18.53,27.02,358.63,0.08
11-Apr-20,YAS,216,68.34%,36.12%,50,8.36%,4,0.67%,1,0.17%,36.94,9.17,0.84,99.73,13.69,27.61,136.41,0.06
12-Apr-20,EEAST,625,88.45%,67.42%,126,13.59%,1,0.11%,0,0.00%,100.86,15.9,0.02,61.1,20.08,31.44,310.29,0.11
12-Apr-20,EMAS,646,100.00%,64.79%,152,15.25%,7,0.70%,1,0.10%,348.17,78.01,6.92,352.83,20.5,32.73,340.72,0.35
12-Apr-20,IOW,12,65.22%,80.00%,1,6.67%,0,0.00%,0,0.00%,1.23,0.14,0,38.27,22.85,22.7,5.71,0.08
12-Apr-20,LAS,911,94.68%,69.17%,152,11.54%,2,0.15%,2,0.15%,135.22,19.96,1.16,117.18,19.91,29.99,437,0.1
12-Apr-20,NEAS,159,72.51%,44.66%,19,5.34%,0,0.00%,0,0.00%,17.35,6.07,0,49.67,15.11,50.62,89.67,0.05
12-Apr-20,NWAS,549,62.36%,64.59%,130,15.29%,3,0.35%,0,0.00%,92.27,15.78,0.18,69.85,20.04,31.62,283.9,0.11
12-Apr-20,SCAS,207,78.16%,39.35%,17,3.23%,0,0.00%,0,0.00%,19.74,0.98,0,44.45,14.72,20.8,129.07,0.04
12-Apr-20,SECAmb,542,92.87%,61.17%,59,6.66%,2,0.23%,0,0.00%,63.77,7.06,0.25,71.65,17.79,26.26,262.73,0.07
12-Apr-20,SWAS,231,100.00%,25.84%,41,4.59%,2,0.22%,0,0.00%,32.57,6.22,0.09,64.95,11.89,22.61,177.16,0.04
12-Apr-20,WMAS,679,87.88%,60.79%,77,6.89%,0,0.00%,0,0.00%,80.75,7.52,0,52.37,17.89,26.31,333.07,0.07
12-Apr-20,YAS,188,70.07%,32.64%,29,5.03%,3,0.52%,0,0.00%,27.39,5.07,0.56,89.48,12.36,22.83,118.64,0.05
13-Apr-20,EEAST,525,87.75%,67.22%,99,12.68%,3,0.38%,0,0.00%,80.5,12.37,0.55,82.72,19.67,31.5,256,0.1
13-Apr-20,EMAS,514,100.00%,57.82%,103,11.59%,5,0.56%,0,0.00%,257.69,43.24,1.57,74.65,18.66,30.35,276.49,0.29
13-Apr-20,IOW,9,65.00%,69.23%,0,0.00%,0,0.00%,0,0.00%,0.76,0,0,25.87,19.82,23.9,4.29,0.06
