Month Year,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
Nov-20,SECAmb,"18,217",93.21%,54.43%,"3,481",10.40%,660,1.97%,297,0.89%,"3,352.41","1,214.47",457.71,589.43,19.26,33.19,"10,744.85",0.1
Nov-20,SWAS,"13,734",100.00%,34.24%,"4,405",10.98%,"1,330",3.32%,627,1.56%,"4,039.42","2,071.19",866.5,281.5,16.47,34.7,"11,009.63",0.1
Nov-20,WMAS,"25,163",89.94%,54.68%,"6,240",13.56%,"2,097",4.56%,"1,069",2.32%,"6,572.87","3,331.37","1,589.44",365,21.78,40.2,"16,704.83",0.14
Nov-20,YAS,"9,902",67.96%,42.67%,"3,492",15.05%,925,3.99%,365,1.57%,"2,921.22","1,423.63",511.08,297.3,18.44,38.28,"7,130.35",0.13
Dec-20,EEAST,"27,594",91.00%,69.28%,"8,861",22.25%,"3,587",9.01%,"2,098",5.27%,"10,172.24","6,170.17","3,452.43",496.27,29.18,60.11,"19,369.17",0.26
Dec-20,EMAS,"24,388",100.00%,64.24%,"6,920",18.23%,"1,847",4.87%,880,2.32%,"14,088.73","4,831.62","1,668.26",486.65,23.75,43.94,"15,027.40",0.37
Dec-20,IOW,375,96.02%,29.37%,50,3.92%,6,0.47%,3,0.23%,52.27,14.51,6.58,267.52,14.34,21.27,305.19,0.04
Dec-20,LAS,"36,302",94.64%,69.18%,"11,473",21.86%,"2,994",5.71%,"2,994",5.71%,"11,547.24","6,104.29","3,220.53",608.75,26.95,49.73,"23,564.96",0.22
Dec-20,NEAS,"7,830",75.57%,55.34%,"1,405",9.93%,261,1.84%,80,0.57%,"1,319.89",774.15,310.13,240.98,18.61,55.55,"4,388.09",0.09
Dec-20,NWAS,"23,465",73.61%,60.14%,"5,786",14.83%,"1,043",2.67%,375,0.96%,"4,945.90","1,796.96",556.55,304.72,20.98,36.78,"13,643.19",0.13
Dec-20,SCAS,"11,400",83.33%,48.43%,"2,975",12.64%,"1,156",4.91%,613,2.60%,"3,400.04","1,947.79","1,038.99",534.78,21.51,38.87,"8,438.65",0.14
Dec-20,SECAmb,"19,832",91.63%,60.80%,"4,918",15.08%,"1,466",4.49%,816,2.50%,"5,374.28","2,813.92","1,530.59",531.02,23.44,44.41,"12,744.72",0.16
Dec-20,SWAS,"16,960",100.00%,40.50%,"6,958",16.61%,"2,822",6.74%,"1,497",3.57%,"7,168.15","4,485.99","2,290.45",383.92,21.23,48.17,"14,821.11",0.17
