Date,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Coun to fHandovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
09-Jan-22,WMAS,Royal Shrewsbury,38,76.00%,32,84.21%,16,42.11%,7,18.42%,5,13.16%,16.33,10.9,5.04,171.82,40.22,93.2,25.47,0.43
10-Jan-22,WMAS,Royal Shrewsbury,25,55.56%,23,92.00%,23,92.00%,19,76.00%,15,60.00%,99.27,93.52,83.02,650,253.19,587.4,105.5,3.97
11-Jan-22,WMAS,Royal Shrewsbury,32,53.33%,32,100.00%,29,90.63%,26,81.25%,22,68.75%,111.47,103.7,90.1,646,224.01,431.5,119.47,3.48
12-Jan-22,WMAS,Royal Shrewsbury,36,58.06%,31,86.11%,25,69.44%,18,50.00%,15,41.67%,55.82,48.96,38.89,384,107.27,302.18,64.36,1.55
13-Jan-22,WMAS,Royal Shrewsbury,32,82.05%,28,87.50%,9,28.13%,7,21.88%,6,18.75%,22.37,17.47,13.74,316.2,56.89,145.17,30.34,0.7
14-Jan-22,WMAS,Royal Shrewsbury,39,88.64%,36,92.31%,16,41.03%,3,7.69%,1,2.56%,11.57,5.2,1.37,105.67,32.67,53.57,21.23,0.3
15-Jan-22,WMAS,Royal Shrewsbury,48,87.27%,37,77.08%,10,20.83%,4,8.33%,1,2.08%,9.35,3.36,0.85,94.67,26.08,39.1,20.86,0.19
16-Jan-22,WMAS,Royal Shrewsbury,35,87.50%,27,77.14%,9,25.71%,0,0.00%,0,0.00%,5.95,1.43,0,57.22,24.51,39.95,14.3,0.17
17-Jan-22,WMAS,Royal Shrewsbury,39,68.42%,36,92.31%,22,56.41%,15,38.46%,12,30.77%,39.86,32.67,23.52,342.2,75.77,174.82,49.25,1.02
18-Jan-22,WMAS,Royal Shrewsbury,48,64.86%,45,93.75%,28,58.33%,20,41.67%,14,29.17%,51.01,41.84,30.2,270,78.41,188.02,62.73,1.06
19-Jan-22,WMAS,Royal Shrewsbury,38,59.38%,37,97.37%,31,81.58%,27,71.05%,26,68.42%,100.36,91.67,77.01,440,173.44,342.78,109.85,2.64
20-Jan-22,WMAS,Royal Shrewsbury,46,60.53%,41,89.13%,33,71.74%,22,47.83%,19,41.30%,54.71,45.68,32.5,331.73,86.07,194.65,65.98,1.19
21-Jan-22,WMAS,Royal Shrewsbury,34,53.97%,33,97.06%,31,91.18%,23,67.65%,20,58.82%,77.18,69.2,55.42,380,151.18,279.8,85.67,2.27
22-Jan-22,WMAS,Royal Shrewsbury,43,62.32%,40,93.02%,34,79.07%,21,48.84%,16,37.21%,44.62,35.17,20.29,191,77.19,151.57,55.32,1.04
23-Jan-22,WMAS,Royal Shrewsbury,29,60.42%,27,93.10%,19,65.52%,8,27.59%,7,24.14%,23.99,18.11,11.93,330,64.43,133.05,31.14,0.83
24-Jan-22,WMAS,Royal Shrewsbury,38,73.08%,37,97.37%,26,68.42%,18,47.37%,15,39.47%,56.57,48.73,38.1,490,104.31,201.38,66.07,1.49
25-Jan-22,WMAS,Royal Shrewsbury,46,70.77%,43,93.48%,34,73.91%,25,54.35%,22,47.83%,136.82,127.64,113.68,755,193.22,557,148.13,2.97
